Candidate ID=52329, InsertionTime=0.645816ns
Candidate ID=52809, InsertionTime=1.16311ns
Candidate ID=8474, InsertionTime=9.21472ns
Candidate ID=27223, InsertionTime=5.84698ns
Candidate ID=3011, InsertionTime=10.4792ns
Candidate ID=49634, InsertionTime=0.905056ns
Candidate ID=46773, InsertionTime=10.2584ns
Candidate ID=12829, InsertionTime=10.2796ns
Candidate ID=28235, InsertionTime=7.53801ns
Candidate ID=35100, InsertionTime=6.2036ns
Candidate ID=38714, InsertionTime=11.362ns
Candidate ID=53264, InsertionTime=4.55712ns
Candidate ID=34592, InsertionTime=10.7979ns
Candidate ID=53967, InsertionTime=0.197684ns
Candidate ID=43349, InsertionTime=13.0442ns
Candidate ID=24776, InsertionTime=0.5016ns
Candidate ID=34779, InsertionTime=0.521576ns
Candidate ID=42352, InsertionTime=0.467103ns
Candidate ID=50014, InsertionTime=4.70313ns
Candidate ID=40001, InsertionTime=0.218848ns
Candidate ID=26981, InsertionTime=9.50267ns
Candidate ID=37332, InsertionTime=0.840057ns
Candidate ID=16005, InsertionTime=10.5482ns
Candidate ID=34681, InsertionTime=0.673037ns
Candidate ID=10624, InsertionTime=11.1283ns
Candidate ID=1719, InsertionTime=0.663873ns
Candidate ID=1197, InsertionTime=6.79465ns
Candidate ID=2188, InsertionTime=7.44326ns
Candidate ID=46073, InsertionTime=7.28143ns
Candidate ID=33234, InsertionTime=0.288571ns
Candidate ID=28546, InsertionTime=5.76663ns
Candidate ID=53054, InsertionTime=0.159169ns
Candidate ID=2634, InsertionTime=0.190333ns
Candidate ID=6866, InsertionTime=6.1472ns
Candidate ID=52826, InsertionTime=0.425986ns
Candidate ID=30630, InsertionTime=0.299972ns
Candidate ID=21515, InsertionTime=0.242644ns
Candidate ID=20285, InsertionTime=7.81789ns
Candidate ID=9643, InsertionTime=0.230222ns
Candidate ID=37368, InsertionTime=0.109526ns
Candidate ID=51239, InsertionTime=0.143175ns
Candidate ID=27946, InsertionTime=0.118775ns
Candidate ID=14241, InsertionTime=0.096904ns
Candidate ID=28559, InsertionTime=0.174571ns
Candidate ID=45805, InsertionTime=15.6535ns
Candidate ID=43570, InsertionTime=0.127566ns
Candidate ID=38048, InsertionTime=6.56093ns
Candidate ID=23761, InsertionTime=0.134796ns
Candidate ID=46590, InsertionTime=13.2014ns
Candidate ID=47743, InsertionTime=0.144088ns
Candidate ID=37909, InsertionTime=0.105695ns
Candidate ID=14059, InsertionTime=6.36136ns
Candidate ID=40261, InsertionTime=0.111754ns
Candidate ID=8723, InsertionTime=0.09262ns
Candidate ID=31573, InsertionTime=8.67048ns
Candidate ID=48781, InsertionTime=7.66205ns
Candidate ID=22697, InsertionTime=6.47282ns
Candidate ID=47770, InsertionTime=6.62608ns
